Index,PedestrianSpeed,FinalHostSpeed,PedestrianEgoDistanceStartWalk,Fitness_Min distance,Fitness_Velocity at min distance
0,1.881128,5.994803,16.810607,0.207431,-6.694620
1,1.104487,1.604916,45.176538,0.196003,-5.960930
