Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Fitness_Min distance,Fitness_Velocity at min distance
0,23.116222,2.999973,276.406400,2.001050,2.708245,-2.999973
1,60.899087,2.964498,253.778285,2.036223,0.205398,-2.964498
2,46.725486,2.939984,276.106682,1.981959,0.181219,-2.939984
3,61.219541,2.999396,253.411392,2.002985,0.237075,-2.999396
4,81.758095,2.831906,224.564300,2.003883,0.178062,-2.831906
5,45.192725,2.999938,276.425668,2.011810,0.399135,-2.999938
6,60.336172,2.999910,253.411392,2.002985,0.304973,-2.999910
7,82.514634,2.831200,224.564300,2.002960,0.110980,-2.831200
