Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Min distance,Velocity at min distance,Critical
77,268.787595,1.432316,277.630263,2.137325,1000.000000,1000.000000,0
78,17.970840,1.451894,132.497471,1.737839,1000.000000,1000.000000,0
79,260.781940,2.796388,49.581094,2.440137,1000.000000,1000.000000,0
80,267.103073,2.850506,284.179018,1.757965,1000.000000,1000.000000,0
81,84.773356,2.063050,261.009595,1.802811,1000.000000,1000.000000,0
82,108.531402,2.887211,65.823828,1.926667,1000.000000,1000.000000,0
83,251.614823,2.669954,215.970841,1.483570,1000.000000,1000.000000,0
84,73.192810,2.273142,53.728440,2.474684,1000.000000,1000.000000,0
85,15.588173,2.733929,55.724048,2.281599,1000.000000,1000.000000,0
86,76.849347,1.275189,110.963267,1.788055,1000.000000,1000.000000,0
87,94.182561,2.210989,253.569799,1.751035,1000.000000,1000.000000,0
88,161.056068,2.487387,167.909793,2.611261,1000.000000,1000.000000,0
89,77.411249,2.606180,264.659151,1.455600,1000.000000,1000.000000,0
90,252.095224,2.709768,241.082310,2.373782,1000.000000,1000.000000,0
91,176.277842,2.761294,215.365940,1.298451,1000.000000,1000.000000,0
92,123.832771,2.261409,60.546070,1.879475,1000.000000,1000.000000,0
93,19.204923,1.435510,123.791551,1.748085,1000.000000,1000.000000,0
94,303.427188,2.230419,327.351256,2.605760,1000.000000,1000.000000,0
95,189.868707,2.537666,43.305256,2.228118,1000.000000,1000.000000,0
96,76.849347,1.275189,110.963267,1.782048,1000.000000,1000.000000,0
97,313.264211,2.819655,328.793931,2.791700,1000.000000,1000.000000,0
98,191.444361,2.127998,205.064859,2.251007,1000.000000,1000.000000,0
99,133.589566,1.289723,68.071307,1.879466,1000.000000,1000.000000,0
100,32.237850,2.878033,278.177099,2.003932,1.540647,-2.878033,0
101,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980,1
102,93.956722,2.819431,172.564926,1.631477,1.038226,-2.819431,0
103,31.406394,2.878033,274.925139,2.013438,1.832943,-2.878033,0
104,164.798659,1.047402,220.185199,2.520672,0.542896,-1.047402,0
105,46.086258,2.001550,224.304274,1.281487,3.593786,-2.001550,0
