Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Fitness_Min distance,Fitness_Velocity at min distance
95,45.817162,2.861487,275.473325,2.000724,0.248339,-2.861487
96,45.259016,2.961307,276.406400,2.036228,0.292546,-2.961307
97,60.520626,2.253714,253.340879,1.786563,0.200826,-2.253714
98,60.520626,2.287017,253.340879,1.791846,0.210196,-2.287017
99,46.009516,2.888700,276.106682,1.982133,0.260199,-2.888700
100,45.817162,2.915100,275.473325,2.000724,0.283932,-2.915100
101,60.198240,2.902604,253.849524,1.984822,0.277104,-2.902604
102,60.520626,2.253714,253.854507,1.789438,0.213144,-2.253714
103,45.819097,2.888589,275.496670,1.981968,0.263307,-2.888589
104,59.922162,2.253714,253.854507,1.789441,0.236309,-2.253714
105,82.037077,2.831200,224.564300,2.003932,0.176254,-2.831200
106,45.819695,2.961518,276.052899,2.035637,0.280729,-2.961518
107,82.037077,2.830940,224.564300,2.003883,0.153137,-2.830940
108,81.756713,2.866044,224.564300,2.003076,0.185142,-2.866044
109,46.029547,2.961513,276.055577,2.036223,0.217148,-2.961513
110,46.714892,2.961204,276.088595,1.975332,0.212102,-2.961204
111,95.156248,2.823150,170.602993,1.406228,0.183919,-2.823150
112,95.150845,2.820040,172.560288,1.411163,0.155573,-2.820040
113,82.037077,2.831200,224.564300,2.003883,0.200428,-2.831200
114,45.817162,2.829600,275.473325,2.000724,0.196506,-2.829600
115,46.009516,2.961307,276.100104,2.036228,0.259107,-2.961307
116,45.799665,2.961312,276.026776,2.035642,0.264576,-2.961312
117,46.725486,2.961310,276.126399,1.986339,0.262465,-2.961310
118,46.725486,2.936202,276.106682,1.981665,0.224476,-2.936202
119,46.725486,2.961204,276.126399,1.981665,0.232550,-2.961204
120,46.009516,2.887438,276.106682,1.982133,0.213219,-2.887438
121,95.150845,2.818779,172.560288,1.411163,0.181938,-2.818779
122,46.009516,2.961234,276.029453,2.036026,0.265821,-2.961234
123,46.009516,2.961307,276.029453,2.036228,0.290970,-2.961307
124,46.009516,2.914156,276.030615,2.036003,0.225352,-2.914156
125,46.009516,2.960530,276.029453,2.036228,0.237616,-2.960530
126,82.037077,2.830940,224.564300,1.983050,0.220277,-2.830940
127,60.520626,2.253714,253.858981,1.789438,0.182968,-2.253714
128,95.150845,2.785476,172.560288,1.405880,0.194669,-2.785476
129,45.259016,2.961307,276.406400,2.036228,0.292546,-2.961307
130,45.817162,2.861487,275.473325,2.000774,0.227719,-2.861487
131,46.009516,2.878033,276.106682,1.983755,0.229714,-2.878033
132,45.817270,2.859953,275.473325,2.000921,0.227384,-2.859953
133,46.007582,2.915211,276.083337,2.000889,0.258633,-2.915211
134,46.009818,2.958072,276.097547,2.036496,0.273840,-2.958072
135,60.520626,2.253714,253.834681,1.789444,0.197700,-2.253714
136,60.520626,2.287017,253.340879,1.791846,0.210196,-2.287017
137,45.817162,2.861487,275.473325,2.000724,0.248339,-2.861487
138,82.037077,2.831200,224.564300,2.003932,0.176254,-2.831200
139,82.037077,2.830940,224.564300,2.003883,0.153137,-2.830940
140,81.756713,2.866044,224.564300,2.003076,0.185142,-2.866044
141,46.029547,2.961513,276.055577,2.036223,0.217148,-2.961513
142,46.714892,2.961204,276.088595,1.975332,0.212102,-2.961204
143,46.714892,2.963786,276.088595,1.975332,0.222112,-2.963786
144,45.819695,2.994114,276.151273,2.037703,0.299571,-2.994114
145,95.156248,2.823150,170.602993,1.406228,0.183919,-2.823150
146,95.150845,2.820040,172.560288,1.411163,0.155573,-2.820040
147,82.037077,2.831200,224.564300,2.003883,0.200428,-2.831200
148,45.817162,2.829600,275.473325,2.000724,0.196506,-2.829600
149,46.009516,2.887438,276.106682,1.982133,0.213219,-2.887438
150,46.009516,2.961307,276.100104,2.036228,0.259107,-2.961307
151,45.799665,2.961312,276.026776,2.035642,0.264576,-2.961312
152,46.725486,2.961310,276.126399,1.986339,0.262465,-2.961310
153,46.725486,2.936202,276.106682,1.981665,0.224476,-2.936202
154,46.725486,2.961204,276.126399,1.981665,0.232550,-2.961204
155,45.808208,2.963051,276.052899,2.035044,0.267338,-2.963051
156,95.150845,2.818779,172.560288,1.411163,0.181938,-2.818779
157,82.037077,2.830940,224.564300,1.983050,0.220277,-2.830940
158,46.009516,2.961234,276.029453,2.036026,0.265821,-2.961234
159,46.009516,2.914156,276.030615,2.036003,0.225352,-2.914156
160,46.009516,2.960530,276.029453,2.036228,0.237616,-2.960530
161,45.819695,2.961518,276.052899,2.035637,0.280729,-2.961518
162,60.520626,2.253714,253.858981,1.789438,0.182968,-2.253714
