Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Critical
0,93.031367,2.421090,230.561961,2.582142,-0.727362,-2.421090,1
1,39.833228,2.703710,325.901366,2.541820,-0.689566,-2.703710,1
2,244.169894,2.361609,40.425776,2.838738,0.000000,0.000000,0
3,55.759057,1.552343,251.908334,2.036949,0.000000,0.000000,0
4,115.371402,1.820831,284.413861,2.414726,0.000000,0.000000,0
5,70.490361,2.513936,179.131009,1.364724,0.000000,0.000000,0
6,240.523231,2.628199,344.704809,2.974849,0.000000,0.000000,0
7,285.065600,2.285688,164.377452,2.357978,0.000000,0.000000,0
8,86.026529,1.539399,57.078429,1.527677,0.000000,0.000000,0
9,247.378748,1.806713,181.835777,1.406572,0.000000,0.000000,0
10,84.122712,2.295272,119.344150,2.758862,0.000000,0.000000,0
11,132.607413,1.773280,87.418893,1.602330,0.000000,0.000000,0
12,200.504193,1.724702,122.011055,2.871934,0.000000,0.000000,0
13,45.639913,2.110615,210.458494,2.115686,0.000000,0.000000,0
14,358.398888,2.154492,323.912829,1.158505,0.000000,0.000000,0
15,283.316498,1.991307,336.584253,1.634051,0.000000,0.000000,0
16,179.630493,2.772256,16.301332,1.372756,0.000000,0.000000,0
17,214.712338,1.628764,203.855643,2.247418,0.000000,0.000000,0
18,172.602844,1.030018,62.357046,2.842924,0.000000,0.000000,0
19,283.543793,1.032475,201.489815,1.100029,0.000000,0.000000,0
20,65.430552,2.247292,203.111362,1.641546,0.000000,0.000000,0
21,106.168675,1.040312,164.020980,2.486545,0.000000,0.000000,0
22,162.925314,2.960177,2.679199,2.356324,0.000000,0.000000,0
23,317.242354,1.330312,38.209511,1.834176,0.000000,0.000000,0
24,257.055518,2.217826,84.124634,2.098336,0.000000,0.000000,0
25,174.724046,1.563381,81.335215,1.820793,0.000000,0.000000,0
26,249.977335,1.168164,161.949616,1.779476,0.000000,0.000000,0
27,320.177642,1.756782,245.066324,2.852999,0.000000,0.000000,0
28,91.122173,1.775978,54.985744,2.201497,0.000000,0.000000,0
29,223.796243,1.539202,69.090417,2.690601,0.000000,0.000000,0
30,113.899633,1.966936,24.554934,2.418081,0.000000,0.000000,0
31,38.440089,1.042567,122.767959,1.185198,0.000000,0.000000,0
32,135.408689,1.994185,50.335450,2.002984,0.000000,0.000000,0
33,145.663783,1.446352,175.575563,1.201686,0.000000,0.000000,0
34,109.767085,2.685410,268.268665,1.232575,0.000000,0.000000,0
35,115.420327,2.657469,340.930791,2.720641,0.000000,0.000000,0
36,202.363922,1.831318,279.639152,2.334217,0.000000,0.000000,0
37,9.971477,1.909410,23.351851,1.180422,0.000000,0.000000,0
38,320.259830,1.081375,342.834264,1.732953,0.000000,0.000000,0
39,218.524326,2.990754,65.482086,1.718311,0.000000,0.000000,0
40,250.038086,2.287388,236.374143,1.498676,0.000000,0.000000,0
41,47.381011,1.388478,335.717406,1.175610,0.000000,0.000000,0
42,227.866509,1.588609,319.899646,2.134260,0.000000,0.000000,0
43,165.320225,1.060078,186.867377,1.976430,0.000000,0.000000,0
44,354.390409,2.808556,217.257541,2.683165,0.000000,0.000000,0
45,281.003322,1.592497,247.220193,2.723419,0.000000,0.000000,0
46,79.124083,1.290823,135.862877,1.949477,0.000000,0.000000,0
47,302.118467,1.827041,192.490034,1.202947,0.000000,0.000000,0
48,177.337015,2.951617,52.457890,1.293540,0.000000,0.000000,0
49,301.321743,2.260177,111.587903,1.245975,0.000000,0.000000,0
50,93.031367,2.421090,230.561961,2.582142,-0.727362,-2.421090,1
51,39.833228,2.703710,325.901366,2.541820,-0.689566,-2.703710,1
52,115.419557,2.588794,339.397641,2.722805,0.000000,0.000000,0
53,223.796243,1.539202,164.731650,2.690601,0.000000,0.000000,0
54,281.003322,1.592497,247.220193,2.723419,0.000000,0.000000,0
55,91.122173,2.602419,179.540833,1.398972,0.000000,0.000000,0
56,322.288835,2.687340,244.156787,1.252990,0.000000,0.000000,0
57,223.796243,1.539202,69.090417,2.690601,0.000000,0.000000,0
58,249.977335,1.168164,161.949616,1.779476,0.000000,0.000000,0
59,257.055518,1.064984,84.124634,2.098336,0.000000,0.000000,0
60,212.651512,2.356375,62.964506,2.876256,0.000000,0.000000,0
61,301.321743,2.260177,210.842040,2.130744,0.000000,0.000000,0
62,302.118467,1.827041,192.490034,1.202947,0.000000,0.000000,0
63,307.625083,1.756782,245.066324,2.857866,0.000000,0.000000,0
64,8.662303,2.706873,23.351851,2.530229,0.000000,0.000000,0
65,174.724046,1.563381,81.335215,1.820793,0.000000,0.000000,0
66,283.543793,1.032475,201.489815,1.100029,0.000000,0.000000,0
67,162.925314,2.960177,5.856576,2.335512,0.000000,0.000000,0
68,65.302897,2.247125,203.111362,1.641546,0.000000,0.000000,0
69,240.523231,2.628199,344.704809,2.974849,0.000000,0.000000,0
70,115.372173,1.889505,284.413861,2.412562,0.000000,0.000000,0
71,285.065600,2.285688,164.377452,2.357978,0.000000,0.000000,0
72,227.866509,1.588609,319.899646,2.134260,0.000000,0.000000,0
73,47.381011,1.388478,335.717406,1.175610,0.000000,0.000000,0
74,244.169894,2.361609,40.425776,2.838738,0.000000,0.000000,0
75,322.317860,2.808556,217.257541,2.683165,0.000000,0.000000,0
76,70.490361,2.513936,179.131009,1.364724,0.000000,0.000000,0
77,324.197407,1.432788,34.843543,1.834176,0.000000,0.000000,0
78,317.242354,1.330312,38.209511,1.834176,0.000000,0.000000,0
79,132.607413,1.773280,87.418893,1.602330,0.000000,0.000000,0
80,115.420327,2.657469,340.930791,2.720641,0.000000,0.000000,0
81,91.122173,1.775978,54.985744,2.201497,0.000000,0.000000,0
82,280.420437,2.772256,249.170148,2.715170,0.000000,0.000000,0
83,9.971477,1.909410,23.351851,1.180422,0.000000,0.000000,0
84,65.416591,2.685410,202.743473,1.222055,0.000000,0.000000,0
85,250.038086,2.287388,236.374143,1.631900,0.000000,0.000000,0
86,250.038086,2.287388,236.374143,1.498676,0.000000,0.000000,0
87,247.378748,1.806713,181.835777,1.406572,0.000000,0.000000,0
88,109.767085,2.685410,268.268665,1.232575,0.000000,0.000000,0
89,282.732868,1.958108,228.314461,2.557958,0.000000,0.000000,0
90,283.316498,1.991307,336.584253,1.634051,0.000000,0.000000,0
91,128.818107,1.040312,164.020980,2.486545,0.000000,0.000000,0
92,106.168675,1.040312,68.379748,2.486545,0.000000,0.000000,0
93,179.630493,2.772256,16.301332,1.372756,0.000000,0.000000,0
94,320.177642,1.756782,245.066324,2.852999,0.000000,0.000000,0
95,115.371402,1.820831,284.413861,2.414726,0.000000,0.000000,0
96,231.171805,1.588609,36.508609,2.134260,0.000000,0.000000,0
97,86.026529,1.539399,57.078429,1.527677,0.000000,0.000000,0
98,320.177642,1.756782,244.041910,2.873807,0.000000,0.000000,0
99,41.142491,1.906247,325.901366,1.192127,0.000000,0.000000,0
100,93.031367,2.421090,230.561961,2.582142,-0.727362,-2.421090,1
101,39.833228,2.703710,325.901366,2.541820,-0.689566,-2.703710,1
102,179.630493,2.772256,17.119380,1.368460,0.000000,0.000000,0
103,47.381011,1.425436,333.103568,1.179907,0.000000,0.000000,0
104,325.350047,2.699035,243.198601,1.352955,0.000000,0.000000,0
105,111.003594,1.889505,320.125803,2.412562,0.000000,0.000000,0
106,81.625375,1.775978,54.985744,2.201497,0.000000,0.000000,0
107,91.122173,1.775978,54.985744,2.201497,0.000000,0.000000,0
108,227.866509,1.588609,319.899646,2.894902,0.000000,0.000000,0
109,109.767085,2.685410,321.176918,2.158726,0.000000,0.000000,0
110,115.371402,1.820831,284.413861,2.414726,0.000000,0.000000,0
111,307.625083,1.756782,245.066324,2.857866,0.000000,0.000000,0
112,65.416591,2.685410,202.743473,1.222055,0.000000,0.000000,0
113,8.662303,2.706873,23.351851,2.530229,0.000000,0.000000,0
114,257.055518,1.064984,84.124634,2.098336,0.000000,0.000000,0
115,320.177642,1.756782,245.066324,2.852999,0.000000,0.000000,0
116,244.169894,2.361609,284.659595,2.845758,0.000000,0.000000,0
117,285.065600,2.285688,165.117858,2.371363,0.000000,0.000000,0
118,44.629971,2.294145,164.713128,2.357978,0.000000,0.000000,0
119,283.543793,1.032475,201.489815,1.606272,0.000000,0.000000,0
120,282.732868,1.958108,228.314461,2.557958,0.000000,0.000000,0
121,234.607584,2.723836,164.731650,2.691327,0.000000,0.000000,0
122,324.197407,1.432788,34.843543,1.834176,0.000000,0.000000,0
123,285.065600,2.285688,164.377452,2.357978,0.000000,0.000000,0
124,238.583876,1.539202,67.458991,2.581752,0.000000,0.000000,0
125,281.373134,1.032475,201.489815,1.100029,0.000000,0.000000,0
126,250.038086,2.287388,236.374143,1.631900,0.000000,0.000000,0
127,280.276365,2.695253,325.564516,2.541820,0.000000,0.000000,0
128,322.288835,2.687340,244.156787,1.252990,0.000000,0.000000,0
129,249.977335,1.168164,161.949616,1.779476,0.000000,0.000000,0
130,227.866509,1.588609,319.899646,2.134260,0.000000,0.000000,0
131,320.177642,1.756782,244.041910,2.873807,0.000000,0.000000,0
132,47.381011,1.388478,335.717406,1.175610,0.000000,0.000000,0
133,324.197407,1.432788,338.393619,2.667435,0.000000,0.000000,0
134,231.171805,1.588609,36.508609,2.134260,0.000000,0.000000,0
