Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance
92,21.065197,2.273127,327.193677,2.496903,-0.825517,-2.273127
93,93.031367,2.413715,230.561542,2.580887,-0.724884,-2.413715
94,93.031367,2.420204,244.956746,2.849883,-0.647286,-2.420204
95,115.372173,1.895399,216.822835,2.398866,-0.885502,-1.895399
96,43.529830,1.634848,295.040904,2.519066,-0.889402,-1.634848
97,21.065197,2.271755,327.193677,2.496903,-0.705568,-2.271755
98,115.520195,1.969264,216.837486,2.425139,-0.709961,-1.969264
99,93.881050,2.417798,245.066324,2.857719,-0.600145,-2.417798
100,84.316134,1.757974,245.066324,2.857866,-0.813677,-1.757974
101,115.372173,1.889505,216.844319,2.444774,-0.802110,-1.889505
102,115.037441,1.192272,214.137559,1.510496,-0.646835,-1.192272
103,93.031367,2.417047,230.548440,2.686094,-0.991069,-2.417047
104,39.833228,2.782844,326.423230,2.541820,-0.930034,-2.782844
105,40.375945,2.681472,328.786053,2.521387,-0.989263,-2.681472
106,39.843339,2.780423,326.434382,2.645590,-0.922699,-2.780423
107,93.031367,2.420115,230.548021,2.684839,-0.946479,-2.420115
108,93.031367,2.417047,230.548021,2.684839,-0.953898,-2.417047
109,43.529830,1.634848,295.041765,2.519066,-0.986378,-1.634848
110,43.529830,1.647400,295.109868,2.414342,-0.982587,-1.647400
111,93.031367,1.956894,230.266687,2.519862,-0.980642,-1.956894
112,93.031367,2.426063,230.561961,2.582142,-0.850167,-2.426063
113,39.843339,2.780423,326.434382,2.652239,-0.815859,-2.780423
114,93.031367,2.421090,230.373670,2.541341,-0.914099,-2.421090
115,93.031367,2.413715,230.561961,2.582142,-0.935552,-2.413715
116,115.372173,1.889505,216.837486,2.425113,-0.972913,-1.889505
117,39.843339,2.780161,326.434382,2.652239,-0.688589,-2.780161
118,39.843339,2.767406,326.434382,2.652239,-0.719091,-2.767406
119,39.843339,2.732352,326.434382,2.652239,-0.774284,-2.732352
120,39.833228,2.724809,326.448889,2.541978,-0.778248,-2.724809
