Attribute,Value
Number Critical Scenarios,51
Number Critical Scenarios (duplicate free),51
Number All Scenarios,200
Number All Scenarios (duplicate free),200
Number Best Critical Scenarios,30
Number Best Critical Scenarios (duplicate free),30
Number Best Scenarios,59
Number Best Scenarios (duplicate free),59
Ratio Critical/All scenarios,0.26
Ratio Critical/All scenarios (duplicate free),0.26
Ratio Best Critical/Best Scenarios,0.51
Ratio Best Critical/Best Scenarios (duplicate free),0.51
