Attribute,Value
Number Critical Scenarios,234
Number Critical Scenarios (duplicate free),234
Number All Scenarios,900
Number All Scenarios (duplicate free),900
Number Best Critical Scenarios,74
Number Best Critical Scenarios (duplicate free),74
Number Best Scenarios,163
Number Best Scenarios (duplicate free),163
Ratio Critical/All scenarios,0.26
Ratio Critical/All scenarios (duplicate free),0.26
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.45
