Attribute,Value
Number Critical Scenarios,895
Number All Scenarios,1040
Number Best Critical Scenarios,3
Number Best Scenarios,3
Ratio Critical/All scenarios,0.86
Ratio Best Critical/Best Scenarios,1.00
