Attribute,Value
Number Critical Scenarios,1146
Number All Scenarios,1290
Number Best Critical Scenarios,2
Number Best Scenarios,2
Ratio Critical/All scenarios,0.89
Ratio Best Critical/Best Scenarios,1.00
